序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1571,002032,苏 泊 尔,2015/09/30,6.33亿,4.66亿,3.84万,1.01,6.57,15.97,82.8亿,15.54,8.68亿,3260万,8.88亿,6.37亿,25.33,28.4亿,4.49,28.52,71.0亿,56.9亿,9.38亿,2.20亿,23.8亿,23.6亿,2293万,33.52,41.6亿,58.55,5.55亿,0.88,0,0,2004/08/17
1572,002033,丽江旅游,2015/09/30,4.23亿,4.23亿,7764,0.46,4.85,9.77,5.99亿,7.30,2.77亿,547万,2.78亿,1.94亿,19.19,7.70亿,1.82,78.09,26.8亿,13.8亿,8.64亿,9441万,5.07亿,1.66亿,3.42亿,18.96,20.5亿,76.64,7.58亿,1.79,0,0,2004/08/25
1573,002034,美 欣 达,2015/09/30,8392万,6082万,7694,0.22,5.38,4.31,5.72亿,-29.81,2544万,94.3万,2572万,1896万,493.06,1.01亿,1.20,15.63,7.69亿,3.64亿,2.20亿,4414万,3.02亿,2.90亿,1196万,39.24,4.52亿,58.77,2.40亿,2.86,0,0,2004/08/26
1574,002035,华帝股份,2015/09/30,3.59亿,2.84亿,1.65万,0.37,4.04,8.96,26.3亿,-12.14,1.46亿,144万,1.69亿,1.33亿,-34.31,5.86亿,1.63,37.33,25.6亿,14.9亿,6.00亿,1.40亿,10.7亿,10.6亿,1115万,41.77,14.5亿,56.60,3.70亿,1.03,0,0,2004/09/01
1575,002036,汉麻产业,2015/09/30,2.61亿,2.56亿,7101,0.43,2.76,16.72,3.13亿,9.06,-18.2万,330万,1.47亿,1.11亿,916.60,1.93亿,0.74,12.03,12.6亿,7.66亿,2.25亿,1.49亿,3.74亿,3.72亿,176万,29.67,7.18亿,57.04,2.34亿,0.90,0,0,2004/09/03
1576,002037,久联发展,2015/09/30,3.27亿,3.27亿,2.81万,0.27,6.11,4.52,25.6亿,-0.41,1.18亿,203万,1.31亿,8891万,-38.07,8.49亿,2.59,25.81,84.8亿,44.7亿,11.0亿,2.53亿,61.5亿,51.7亿,9.78亿,72.52,20.0亿,23.57,6.16亿,1.88,0,0,2004/09/08
1577,002038,双鹭药业,2015/09/30,6.85亿,5.67亿,1.65万,0.75,5.08,15.36,8.23亿,-8.24,5.80亿,5143万,5.92亿,5.16亿,-2.81,25.0亿,3.65,71.30,36.3亿,25.9亿,2.96亿,7494万,1.20亿,1.02亿,1818万,3.30,34.8亿,95.74,459万,0.01,0,0,2004/09/09
1578,002039,黔源电力,2015/09/30,3.05亿,3.05亿,1.77万,0.86,6.73,13.24,19.8亿,11.58,4.68亿,111万,5.06亿,2.62亿,-7.00,5.18亿,1.70,58.33,184亿,13.1亿,169亿,1494万,143亿,16.6亿,126亿,77.67,20.5亿,11.15,11.4亿,3.75,0,0,2005/03/03
1579,002040,南 京 港,2015/09/30,2.46亿,2.46亿,1.13万,0.06,2.65,2.36,1.13亿,5.74,1316万,1417万,1700万,1517万,10.44,1.58亿,0.64,37.44,10.8亿,8394万,3.55亿,213万,4.04亿,7233万,3.31亿,37.53,6.50亿,60.49,1.94亿,0.79,0,0,2005/03/25
1580,002041,登海种业,2015/09/30,8.80亿,8.74亿,1.83万,0.20,2.34,8.75,6.49亿,2.29,2.08亿,6632万,2.14亿,1.79亿,11.73,10.2亿,1.16,51.71,37.0亿,30.4亿,5.60亿,6444万,7.62亿,7.28亿,3392万,20.57,20.6亿,55.53,2932万,0.03,0,0,2005/04/18
1581,002042,华孚色纺,2015/09/30,8.33亿,8.31亿,2.28万,0.35,4.35,8.24,59.4亿,11.18,1.32亿,1222万,3.16亿,2.91亿,46.37,16.7亿,2.00,12.45,92.1亿,54.7亿,30.6亿,4.20亿,55.0亿,41.0亿,14.0亿,59.70,36.3亿,39.38,10.0亿,1.20,0,0,2005/04/27
