序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
2055,002516,旷达科技,2015/09/30,6.62亿,2.72亿,6518,0.32,3.11,10.16,13.4亿,-6.80,2.32亿,0,2.32亿,1.99亿,58.52,7.47亿,1.13,37.49,58.3亿,24.1亿,28.3亿,1.72亿,37.8亿,26.1亿,11.7亿,64.75,20.6亿,35.30,7.19亿,1.09,0,0,2010/12/07
2056,002517,泰亚股份,2015/09/30,1.77亿,1.77亿,1.87万,0.00,3.40,0.08,2.74亿,11.11,-592万,0,749万,48.4万,0.00,7528万,0.43,18.43,8.02亿,3.19亿,3.80亿,9090万,2.02亿,1.65亿,3691万,25.15,6.01亿,74.85,3.33亿,1.88,0,0,2010/12/07
2057,002518,科士达,2015/09/30,2.97亿,2.82亿,1.62万,0.47,5.56,8.67,9.91亿,8.68,1.61亿,2509万,1.66亿,1.39亿,49.70,5.68亿,1.91,32.00,22.2亿,17.2亿,4.12亿,4702万,5.45亿,5.08亿,3620万,24.53,16.5亿,74.40,7.34亿,2.47,0,0,2010/12/07
2058,002519,银河电子,2015/09/30,5.70亿,4.35亿,2.06万,0.27,3.44,7.38,9.90亿,20.78,1.85亿,0,2.06亿,1.53亿,116.63,3.81亿,0.67,35.04,33.4亿,14.7亿,3.23亿,1.26亿,13.8亿,11.8亿,2.06亿,41.40,19.6亿,58.60,9.28亿,1.63,0,0,2010/12/07
2059,002520,日发精机,2015/09/30,3.24亿,3.13亿,1.13万,0.10,2.10,4.91,4.92亿,68.92,3810万,0,4245万,3310万,-16.11,8340万,0.26,39.97,13.7亿,9.10亿,3.12亿,9175万,6.39亿,5.49亿,8963万,46.52,6.79亿,49.48,2.29亿,0.71,0,0,2010/12/10
2060,002521,齐峰新材,2015/09/30,4.95亿,4.04亿,9756,0.41,6.61,6.46,17.4亿,-8.37,2.12亿,2289万,2.14亿,1.83亿,-7.83,7.26亿,1.47,22.00,42.8亿,29.7亿,9.23亿,1.29亿,10.1亿,10.1亿,415万,23.64,32.7亿,76.36,19.9亿,4.02,0,0,2010/12/10
2061,002522,浙江众成,2015/09/30,8.83亿,5.09亿,9640,0.04,1.53,2.96,3.62亿,-9.18,4396万,1069万,4544万,3941万,-1.39,1.44亿,0.16,31.45,18.2亿,9.41亿,7.04亿,3224万,4.62亿,4.50亿,1265万,25.41,13.5亿,74.31,2.76亿,0.31,0,0,2010/12/10
2062,002523,天桥起重,2015/09/30,5.62亿,3.01亿,6786,0.09,3.06,3.62,4.76亿,38.48,4550万,701万,4650万,4046万,951.64,2.11亿,0.38,28.90,27.6亿,19.7亿,4.63亿,1.10亿,9.86亿,9.81亿,506万,35.66,17.2亿,62.18,9.11亿,1.62,0,0,2010/12/10
2063,002524,光正集团,2015/09/30,5.03亿,4.91亿,1.34万,0.01,1.53,0.56,3.82亿,-15.32,-430万,830万,2176万,427万,0.00,-5681万,-0.11,33.54,19.5亿,6.31亿,7.65亿,1.91亿,8.97亿,6.13亿,2.84亿,45.90,7.72亿,39.50,2.98亿,0.59,0,0,2010/12/17
2064,002525,胜景山河,2010/09/30,5100万,0,0,0.63,4.38,0.00,1.41亿,32.01,3730万,0,3733万,3196万,45.22,7969万,1.56,52.34,4.41亿,3.66亿,6099万,1351万,2.18亿,1.48亿,7000万,49.35,2.23亿,50.65,8696万,11.93,0,0,0000/00/00
2065,002526,山东矿机,2015/09/30,5.34亿,4.17亿,5805,0.01,3.66,0.16,7.29亿,-33.68,-938万,3812万,466万,304万,171.21,2.60亿,0.49,17.79,33.7亿,23.2亿,5.74亿,2.28亿,13.1亿,12.8亿,2820万,38.83,19.6亿,57.95,11.1亿,2.07,0,0,2010/12/17
2066,002527,新时达,2015/09/30,5.90亿,3.58亿,7233,0.26,3.65,7.31,10.3亿,18.87,1.29亿,514万,1.80亿,1.54亿,3.62,6.23亿,1.06,37.89,31.2亿,19.3亿,4.42亿,1.82亿,9.18亿,8.80亿,3746万,29.40,21.5亿,68.88,8.65亿,1.47,0,0,2010/12/24
2067,002528,英飞拓,2015/09/30,7.12亿,5.13亿,1.50万,0.00,3.23,-0.04,11.6亿,88.67,209万,1203万,781万,-100万,-109.33,9189万,0.13,41.94,27.3亿,14.6亿,1.22亿,2.32亿,4.21亿,3.50亿,7156万,15.46,23.0亿,84.32,14.4亿,2.02,0,0,2010/12/24
2068,002529,海源机械,2015/09/30,2.00亿,2.00亿,6253,-0.07,4.91,-1.35,1.39亿,10.47,-1616万,-155万,-1080万,-1339万,0.00,1.18亿,0.59,31.81,12.0亿,5.92亿,3.68亿,5676万,2.15亿,1.91亿,2308万,17.92,9.83亿,82.08,6.24亿,3.12,0,0,2010/12/24
2069,002530,丰东股份,2015/09/30,2.68亿,2.68亿,1.42万,0.08,2.56,3.32,3.16亿,16.20,2303万,337万,2917万,2251万,31.77,1.82亿,0.68,29.37,9.73亿,5.41亿,2.06亿,4729万,2.20亿,1.80亿,4064万,22.63,6.85亿,70.42,2.10亿,0.78,0,0,2010/12/31
2070,002531,天顺风能,2015/09/30,8.23亿,8.21亿,1.38万,0.29,2.54,11.73,15.3亿,39.97,2.78亿,2426万,2.84亿,2.36亿,68.48,6.33亿,0.77,28.13,46.9亿,34.6亿,7.74亿,1.24亿,25.5亿,17.7亿,7.81亿,54.32,20.9亿,44.59,5.70亿,0.69,0,0,2010/12/31
2071,002532,新界泵业,2015/09/30,3.21亿,2.28亿,1.17万,0.33,3.73,9.38,9.08亿,5.65,1.07亿,105万,1.21亿,1.06亿,35.43,4.28亿,1.33,26.71,16.0亿,6.76亿,5.27亿,2.07亿,3.48亿,3.39亿,939万,21.72,12.0亿,74.74,3.88亿,1.21,0,0,2010/12/31
2072,002533,金杯电工,2015/09/30,5.54亿,5.00亿,1.12万,0.19,3.63,5.29,23.4亿,3.90,1.26亿,-40.8万,1.32亿,1.05亿,19.87,6.64亿,1.20,14.52,29.8亿,21.5亿,4.87亿,1.46亿,7.92亿,7.35亿,5744万,26.55,20.1亿,67.44,7.94亿,1.44,0,0,2010/12/31
2073,002534,杭锅股份,2015/09/30,4.01亿,3.94亿,2.89万,-0.40,6.07,-6.27,19.3亿,-21.25,-2.78亿,-533万,-2.42亿,-1.59亿,-262.97,8.01亿,2.00,22.01,71.7亿,51.1亿,10.4亿,2.93亿,43.2亿,31.4亿,11.8亿,60.23,24.3亿,33.90,10.4亿,2.60,0,0,2011/01/10
2074,002535,林州重机,2015/09/30,6.17亿,3.24亿,6479,-0.05,5.16,-1.09,9.83亿,-22.79,-1.19亿,1319万,-3116万,-2732万,-161.14,4.47亿,0.73,6.97,72.7亿,39.1亿,14.4亿,2.76亿,40.2亿,37.4亿,2.84亿,55.28,31.8亿,43.72,20.3亿,3.29,0,0,2011/01/11
2075,002536,西泵股份,2015/09/30,1.11亿,4621万,3544,0.52,15.74,4.35,13.9亿,17.44,5135万,0,5898万,5301万,53.59,2.86亿,2.57,21.90,30.4亿,16.5亿,11.0亿,1.68亿,12.8亿,10.2亿,2.56亿,41.94,17.5亿,57.54,13.2亿,11.85,0,0,2011/01/11
2076,002537,海立美达,2015/09/30,3.01亿,3.00亿,1.70万,0.23,4.89,4.84,15.6亿,-17.53,755万,39.4万,1.02亿,6961万,184.28,3.68亿,1.22,11.94,28.8亿,16.1亿,6.69亿,2.80亿,11.5亿,11.0亿,5008万,40.05,14.7亿,51.17,7.83亿,2.60,0,0,2011/01/10
2077,002538,司尔特,2015/09/30,7.18亿,5.74亿,1.22万,0.33,4.12,10.38,24.4亿,39.90,2.11亿,133万,2.26亿,1.92亿,82.26,7.80亿,1.09,17.58,40.2亿,22.7亿,8.89亿,2.41亿,10.6亿,7.23亿,3.37亿,26.37,29.6亿,73.63,13.7亿,1.91,0,0,2011/01/18
2078,002539,新都化工,2015/09/30,10.1亿,3.97亿,1.83万,0.19,2.93,6.57,49.8亿,39.03,2.16亿,-2.29万,2.78亿,1.60亿,80.13,7.22亿,0.71,16.49,90.4亿,38.2亿,33.7亿,6.19亿,59.9亿,48.3亿,11.6亿,66.21,29.6亿,32.68,11.4亿,1.13,0,0,2011/01/18
2079,002540,亚太科技,2015/09/30,10.4亿,7.05亿,6675,0.13,2.50,5.31,16.9亿,2.42,1.54亿,1729万,1.59亿,1.35亿,-22.57,7.71亿,0.74,22.01,29.7亿,18.6亿,5.28亿,1.45亿,3.69亿,3.25亿,4419万,12.42,26.0亿,87.58,7.11亿,0.68,0,0,2011/01/18
2080,002541,鸿路钢构,2015/09/30,2.68亿,1.65亿,1.37万,0.44,9.19,4.91,21.3亿,-30.40,1.33亿,1127万,1.41亿,1.19亿,-8.83,9.30亿,3.47,20.59,74.2亿,57.5亿,11.8亿,2.38亿,49.6亿,49.1亿,4558万,66.79,24.6亿,33.21,12.0亿,4.46,0,0,2011/01/18
2081,002542,中化岩土,2015/09/30,10.4亿,3.60亿,8381,0.13,1.71,7.65,12.8亿,89.40,1.45亿,345万,1.51亿,1.33亿,75.69,3.53亿,0.34,28.07,36.0亿,23.7亿,6.11亿,7863万,18.1亿,18.0亿,893万,50.31,17.8亿,49.35,3.34亿,0.32,0,0,2011/01/28
2082,002543,万和电气,2015/09/30,4.40亿,3.19亿,1.22万,0.58,6.27,9.60,30.8亿,3.03,3.03亿,1751万,3.09亿,2.56亿,13.05,9.89亿,2.25,31.32,40.3亿,25.9亿,7.76亿,2.59亿,12.7亿,11.9亿,8196万,31.50,27.6亿,68.50,12.5亿,2.84,0,0,2011/01/28
2083,002544,杰赛科技,2015/09/30,5.16亿,5.09亿,2.43万,0.05,2.23,2.25,11.7亿,-1.79,1973万,0,2920万,2575万,-39.72,3.68亿,0.71,21.40,29.1亿,22.4亿,5.39亿,5494万,17.6亿,13.6亿,4.06亿,60.49,11.5亿,39.46,2.17亿,0.42,0,0,2011/01/28
2084,002545,东方铁塔,2015/09/30,7.81亿,3.42亿,9171,0.06,3.70,1.68,8.13亿,25.09,5139万,4728万,5260万,4825万,7.78,9.67亿,0.74,21.94,43.0亿,25.6亿,4.96亿,2.08亿,13.9亿,13.8亿,527万,32.22,28.9亿,67.18,15.3亿,1.29,0,0,2011/02/11
2085,002546,新联电子,2015/09/30,2.52亿,2.35亿,1.55万,0.37,5.30,6.95,5.06亿,36.81,1.02亿,924万,1.13亿,9246万,1.86,5.37亿,2.13,40.19,17.2亿,13.2亿,3.00亿,5331万,3.10亿,2.91亿,1991万,18.02,13.3亿,77.45,4.77亿,1.89,0,0,2011/02/11
2086,002547,春兴精工,2015/09/30,10.1亿,5.24亿,5189,0.12,1.79,6.94,15.1亿,-3.68,1.48亿,1245万,1.49亿,1.22亿,59.14,3.15亿,0.31,24.28,29.6亿,15.9亿,9.18亿,1.06亿,11.4亿,11.4亿,1.66万,38.48,18.1亿,61.21,11.5亿,0.47,0,0,2011/02/18
2087,002548,金新农,2015/09/30,3.10亿,3.10亿,6323,0.29,2.80,10.59,19.4亿,32.10,1.08亿,1505万,1.10亿,8900万,83.81,2.30亿,0.74,13.92,15.3亿,8.84亿,2.29亿,5063万,6.25亿,6.19亿,588万,40.87,8.68亿,56.76,3.03亿,0.98,0,0,2011/02/18
2088,002549,凯美特气,2015/09/30,5.67亿,1.97亿,8343,-0.06,1.40,-4.11,8411万,-60.09,-4646万,4.38万,-3350万,-3330万,-170.05,1.78亿,0.31,5.14,12.1亿,3.89亿,4.48亿,6518万,4.00亿,2.76亿,1.24亿,33.12,7.94亿,65.72,2177万,0.04,0,0,2011/02/18
2089,002550,千红制药,2015/09/30,6.40亿,4.07亿,8101,0.31,3.45,9.33,5.22亿,-13.98,2.35亿,40.8万,2.38亿,2.01亿,12.71,7.49亿,1.17,66.83,26.3亿,21.1亿,1.02亿,8515万,4.02亿,3.72亿,2965万,15.26,22.1亿,83.90,7.07亿,1.10,0,0,2011/02/18
2090,002551,尚荣医疗,2015/09/30,4.36亿,2.68亿,1.05万,0.27,3.37,8.22,11.1亿,34.35,1.36亿,0,1.56亿,1.17亿,35.36,3.86亿,0.89,28.61,28.4亿,20.0亿,2.38亿,1.64亿,12.6亿,10.9亿,1.64亿,44.31,14.7亿,51.84,6.14亿,1.41,0,0,2011/02/25
2091,002552,宝鼎重工,2015/09/30,3.00亿,1.68亿,1.37万,0.03,2.71,0.97,2.44亿,7.93,438万,-170万,897万,787万,-22.94,1.46亿,0.49,18.70,12.7亿,3.56亿,4.04亿,7962万,4.55亿,4.32亿,2219万,35.90,8.12亿,64.10,3.40亿,1.13,0,0,2011/02/25
2092,002553,南方轴承,2015/09/30,3.48亿,2.19亿,6018,0.16,1.86,8.82,2.29亿,0.59,6481万,1421万,6553万,5623万,11.28,2.14亿,0.61,34.40,6.95亿,4.41亿,1.40亿,795万,4814万,4814万,0,6.93,6.46亿,93.07,5652万,0.16,0,0,2011/02/25
2093,002554,惠博普,2015/09/30,5.16亿,2.53亿,7714,0.20,3.91,5.40,9.62亿,4.73,1.34亿,359万,1.36亿,1.01亿,18.62,4.95亿,0.96,29.40,30.3亿,16.8亿,3.82亿,3044万,9.89亿,9.68亿,2026万,32.58,20.1亿,66.37,9.65亿,1.87,0,0,2011/02/25
2094,002555,顺荣三七,2015/09/30,8.77亿,1.59亿,3771,0.40,3.40,12.60,32.7亿,1430.61,5.57亿,606万,6.54亿,3.54亿,10748.99,3.56亿,0.41,60.04,43.5亿,18.9亿,3.17亿,7918万,8.67亿,8.61亿,528万,19.92,29.8亿,68.46,17.0亿,1.94,0,0,2011/03/02
2095,002556,辉隆股份,2015/09/30,4.78亿,4.63亿,9187,0.31,4.45,7.10,85.4亿,18.99,1.74亿,1.60亿,2.10亿,1.48亿,70.46,5.31亿,1.11,5.76,54.2亿,36.5亿,4.63亿,1.72亿,31.1亿,30.4亿,7506万,57.49,21.3亿,39.31,10.5亿,2.19,0,0,2011/03/02
2096,002557,洽洽食品,2015/09/30,5.07亿,5.07亿,2.10万,0.52,5.44,9.60,23.9亿,7.79,3.36亿,3787万,3.54亿,2.65亿,28.12,5.45亿,1.08,33.06,39.0亿,24.5亿,8.24亿,1.75亿,10.7亿,10.2亿,4896万,27.31,27.6亿,70.66,15.9亿,3.13,0,0,2011/03/02
2097,002558,世纪游轮,2015/09/30,6545万,3246万,6455,-0.32,9.02,-3.60,3.58亿,-3.34,-3272万,0,-2332万,-2084万,-464.33,9355万,1.43,12.56,6.44亿,2.40亿,3.94亿,163万,5360万,5360万,0,8.33,5.90亿,91.67,4.04亿,6.18,0,0,2011/03/02
2098,002559,亚威股份,2015/09/30,3.66亿,2.93亿,5458,0.17,3.92,4.93,6.84亿,-2.84,6974万,0,7319万,6355万,-15.97,3.17亿,0.87,25.66,18.8亿,12.1亿,3.54亿,1.20亿,4.22亿,3.61亿,6103万,22.43,14.3亿,76.24,7.01亿,1.91,0,0,2011/03/03
2099,002560,通达股份,2015/09/30,1.40亿,8852万,6530,0.28,10.06,2.80,8.36亿,101.96,4756万,464万,4969万,3916万,47.61,2.86亿,2.05,10.70,22.4亿,12.3亿,2.14亿,1.11亿,6.10亿,6.06亿,424万,27.29,14.1亿,62.90,9.47亿,6.78,0,0,2011/03/03
2100,002561,徐家汇,2015/09/30,4.16亿,3.86亿,9729,0.44,4.56,9.78,14.7亿,-0.47,2.49亿,2366万,2.53亿,1.83亿,0.97,7.82亿,1.88,30.48,23.0亿,12.4亿,5.99亿,4.00亿,3.82亿,3.22亿,6022万,16.60,19.0亿,82.42,5.24亿,1.26,0,0,2011/03/03
2101,002562,兄弟科技,2015/09/30,2.13亿,1.08亿,7881,0.22,3.99,5.71,6.35亿,7.75,5445万,200万,6297万,4784万,78.41,1.84亿,0.86,22.15,11.4亿,5.00亿,4.76亿,8567万,2.61亿,2.60亿,195万,23.04,8.52亿,75.09,4.25亿,1.99,0,0,2011/03/10
2102,002563,森马服饰,2015/09/30,26.9亿,18.3亿,6.85万,0.31,3.23,9.63,61.7亿,15.07,10.8亿,2303万,10.8亿,8.29亿,23.46,29.1亿,1.08,37.04,111亿,81.2亿,15.1亿,1.46亿,23.9亿,19.7亿,4.15亿,21.51,87.0亿,78.32,24.6亿,0.91,0,0,2011/03/11
2103,002564,天沃科技,2015/09/30,7.40亿,4.99亿,7393,0.07,3.94,1.66,14.2亿,-14.60,4672万,201万,5327万,4842万,-12.71,5.91亿,0.80,24.36,70.4亿,45.4亿,19.9亿,3.06亿,40.7亿,25.6亿,15.1亿,57.88,29.1亿,41.38,15.3亿,2.06,0,0,2011/03/10
2104,002565,上海绿新,2015/09/30,6.97亿,6.87亿,1.51万,0.12,2.48,5.05,11.8亿,-26.68,1.07亿,1180万,1.11亿,8507万,-41.90,3.77亿,0.54,27.73,33.4亿,15.0亿,6.51亿,1.60亿,14.3亿,12.6亿,1.71亿,42.69,17.3亿,51.72,5.98亿,0.86,0,0,2011/03/18
2105,002566,益盛药业,2015/09/30,3.31亿,2.07亿,7722,0.21,5.39,4.03,6.87亿,30.89,7167万,147万,7771万,7086万,4.56,5.41亿,1.63,71.90,28.0亿,23.5亿,2.92亿,6178万,9.91亿,9.55亿,3569万,35.44,17.8亿,63.83,8.30亿,2.51,0,0,2011/03/18
2106,002567,唐人神,2015/09/30,4.21亿,4.20亿,1.25万,0.16,4.28,3.54,72.9亿,-3.57,1.29亿,-2166万,1.60亿,6656万,15.70,4.70亿,1.12,9.01,35.8亿,13.5亿,12.7亿,2.40亿,15.1亿,13.0亿,2.10亿,42.28,18.0亿,50.35,7.56亿,1.80,0,0,2011/03/25
2107,002568,百润股份,2015/09/30,8.96亿,2.15亿,1.54万,0.78,1.34,53.73,22.0亿,193.12,8.98亿,0,9.28亿,7.01亿,213.36,2.21亿,0.25,77.75,17.9亿,10.2亿,3.21亿,1.52亿,5.92亿,5.83亿,838万,33.08,12.0亿,66.92,0,0.00,0,0,2011/03/25
2108,002569,步森股份,2015/09/30,1.40亿,1.38亿,2.32万,-0.06,3.56,-1.67,2.97亿,-15.45,-890万,0,-848万,-838万,0.00,1214万,0.09,36.71,7.95亿,5.85亿,1.52亿,3254万,2.96亿,2.96亿,0,37.25,4.99亿,62.73,3.19亿,2.28,0,0,2011/04/12
2109,002570,贝因美,2015/09/30,10.2亿,10.2亿,1.64万,-0.21,3.28,-6.24,26.4亿,-23.17,-3.54亿,487万,-3.48亿,-2.16亿,-260.47,9.17亿,0.90,54.05,46.4亿,24.1亿,16.0亿,1.86亿,13.1亿,12.6亿,5026万,28.22,33.5亿,72.18,11.8亿,1.16,0,0,2011/04/12
2110,002571,德力股份,2015/09/30,3.92亿,2.47亿,1.49万,-0.01,4.03,-0.21,6.18亿,-11.47,337万,433万,564万,-325万,-109.25,2.46亿,0.63,24.07,23.0亿,9.77亿,6.36亿,9109万,7.24亿,6.00亿,1.24亿,31.44,15.8亿,68.56,9.04亿,2.31,0,0,2011/04/12
2111,002572,索菲亚,2015/09/30,4.41亿,2.67亿,5.54万,0.63,4.74,13.73,20.7亿,35.14,3.74亿,0,3.77亿,2.76亿,39.20,7.66亿,1.74,37.48,29.0亿,13.5亿,7.58亿,1.92亿,6.81亿,5.93亿,8868万,23.51,20.9亿,72.18,8.18亿,1.85,0,0,2011/04/12
2112,002573,清新环境,2015/09/30,10.7亿,10.6亿,1.36万,0.33,2.54,13.84,15.3亿,68.85,3.98亿,262万,4.04亿,3.55亿,69.28,8.76亿,0.82,36.61,55.7亿,21.2亿,19.8亿,5841万,27.1亿,19.3亿,7.86亿,48.75,27.1亿,48.70,6.76亿,0.63,0,0,2011/04/22
2113,002574,明牌珠宝,2015/09/30,5.28亿,5.28亿,1.69万,0.14,5.81,2.43,44.5亿,-22.70,9900万,3649万,1.02亿,7431万,-60.89,7.91亿,1.50,7.34,49.1亿,46.2亿,8191万,5424万,18.4亿,7.43亿,11.0亿,37.48,30.7亿,62.50,16.5亿,3.13,0,0,2011/04/22
2114,002575,群兴玩具,2015/09/30,5.89亿,5.80亿,1.64万,0.04,1.53,2.50,2.79亿,-19.05,2490万,915万,2701万,2243万,3.62,1.32亿,0.22,21.81,9.73亿,3.16亿,4.10亿,1.01亿,7367万,7174万,194万,7.57,8.99亿,92.43,1.54亿,0.26,0,0,2011/04/22
2115,002576,通达动力,2015/09/30,1.65亿,1.19亿,8986,0.02,5.13,0.01,6.46亿,-22.22,100万,973万,218万,338万,-55.52,1.13亿,0.69,9.77,11.4亿,7.29亿,2.82亿,6595万,2.55亿,2.43亿,1227万,22.48,8.47亿,74.57,5.48亿,3.32,0,0,2011/04/28
2116,002577,雷柏科技,2015/09/30,2.84亿,2.81亿,3.24万,-0.08,4.95,-1.64,3.54亿,-13.50,-2752万,-42.1万,-2343万,-2291万,-135.12,1.08亿,0.38,33.45,19.4亿,9.04亿,2.96亿,2897万,4.67亿,4.56亿,1173万,24.09,14.0亿,72.42,9.97亿,3.51,0,0,2011/04/28
2117,002578,闽发铝业,2015/09/30,4.29亿,2.65亿,5376,0.05,2.27,2.03,8.41亿,-7.87,1951万,428万,2259万,1990万,-29.83,1.90亿,0.44,8.09,13.3亿,4.81亿,4.92亿,1.30亿,3.44亿,2.98亿,4529万,25.91,9.74亿,73.44,3.22亿,0.75,0,0,2011/04/28
2118,002579,中京电子,2015/09/30,3.50亿,3.50亿,1.52万,0.05,1.82,2.67,3.93亿,12.98,-5.86万,656万,1986万,1689万,101.48,1.25亿,0.36,14.83,12.0亿,3.72亿,6.18亿,2853万,5.62亿,4.96亿,6611万,46.72,6.38亿,53.04,1.46亿,0.42,0,0,2011/05/06
2119,002580,圣阳股份,2015/09/30,2.18亿,1.49亿,6004,0.13,4.94,2.65,9.83亿,12.59,2298万,0,3010万,2692万,27.78,2.12亿,0.97,20.06,17.7亿,12.3亿,4.27亿,6566万,6.96亿,4.27亿,2.69亿,39.31,10.7亿,60.69,6.20亿,2.85,0,0,2011/05/06
2120,002581,未名医药,2015/09/30,6.60亿,1.94亿,8696,0.52,3.00,16.12,5.04亿,19.56,1.59亿,940万,1.63亿,1.46亿,-12.05,3.64亿,0.55,88.35,24.1亿,14.2亿,4.52亿,9948万,3.65亿,3.30亿,3592万,15.19,19.8亿,82.30,13.5亿,2.05,0,0,2011/05/20
2121,002582,好想你,2015/09/30,1.48亿,9514万,5660,0.17,9.56,1.80,8.50亿,23.35,2433万,2062万,3137万,2535万,-42.04,3.68亿,2.49,41.59,25.1亿,10.0亿,5.27亿,9282万,11.0亿,5.43亿,5.55亿,43.76,14.1亿,56.24,8.35亿,5.66,0,0,2011/05/20
2122,002583,海能达,2015/09/30,15.4亿,8.40亿,2.28万,0.06,1.37,4.65,13.0亿,31.26,6206万,116万,1.20亿,9535万,0.00,4.72亿,0.31,52.70,38.5亿,22.1亿,9.92亿,2.70亿,17.5亿,12.6亿,4.86亿,45.42,21.0亿,54.58,4354万,0.03,0,0,2011/05/27
2123,002584,西陇化工,2015/09/30,2.34亿,1.03亿,9493,0.35,7.27,5.83,16.2亿,1.61,8902万,906万,9186万,7338万,25.08,3.38亿,1.44,18.68,23.1亿,14.8亿,3.76亿,7445万,5.38亿,5.20亿,1828万,23.31,17.0亿,73.71,10.8亿,4.60,0,0,2011/06/02
2124,002585,双星新材,2015/09/30,7.17亿,5.40亿,1.61万,0.14,7.26,1.94,16.7亿,-3.80,9090万,111万,1.19亿,1.00亿,10.20,7.49亿,1.04,10.67,59.4亿,27.4亿,19.3亿,1.34亿,7.36亿,7.36亿,95.0万,12.39,52.1亿,87.61,36.4亿,5.07,0,0,2011/06/02
2125,002586,围海股份,2015/09/30,7.28亿,6.92亿,1.50万,0.03,2.12,1.28,12.4亿,11.28,2980万,893万,3796万,1984万,-61.31,3.17亿,0.44,13.23,39.5亿,21.0亿,2.05亿,2383万,23.4亿,17.6亿,5.82亿,59.43,15.4亿,39.07,4.19亿,0.58,0,0,2011/06/02
2126,002587,奥拓电子,2015/09/30,3.73亿,2.38亿,1.04万,0.04,1.57,2.38,2.05亿,-15.20,430万,0,1373万,1466万,-68.91,1.55亿,0.42,48.04,6.87亿,4.75亿,1.50亿,2126万,9646万,9506万,139万,14.04,5.87亿,85.50,2776万,0.07,0,0,2011/06/10
2127,002588,史丹利,2015/09/30,5.84亿,3.52亿,1.29万,0.93,6.06,16.31,61.8亿,48.75,6.59亿,1799万,6.74亿,5.40亿,30.71,19.1亿,3.26,22.07,60.7亿,34.9亿,13.0亿,4.35亿,23.4亿,21.4亿,2.04亿,38.63,35.4亿,58.29,8.77亿,1.50,0,0,2011/06/10
2128,002589,瑞康医药,2015/09/30,5.55亿,2.90亿,5.77万,0.31,5.63,5.94,70.4亿,25.64,2.14亿,26.9万,2.21亿,1.66亿,28.47,6.63亿,1.19,10.16,79.4亿,68.7亿,5.51亿,7627万,47.1亿,47.1亿,0,59.32,31.2亿,39.35,18.6亿,3.36,0,0,2011/06/10
2129,002590,万安科技,2015/09/30,4.13亿,3.60亿,1.34万,0.14,1.89,7.84,11.9亿,23.34,6811万,-49.3万,7352万,5960万,22.31,2.74亿,0.66,22.55,19.3亿,12.3亿,4.59亿,1.46亿,11.2亿,10.9亿,3269万,58.10,7.81亿,40.37,6578万,0.16,0,0,2011/06/10
2130,002591,恒大高新,2015/09/30,2.62亿,1.51亿,7532,-0.06,2.87,-1.90,1.31亿,-26.30,-2861万,-472万,-1791万,-1475万,-192.82,1.36亿,0.52,26.49,9.24亿,4.80亿,2.14亿,4627万,1.48亿,9921万,4829万,15.97,7.51亿,81.36,3.14亿,1.20,0,0,2011/06/21
2131,002592,八菱科技,2015/09/30,2.49亿,1.14亿,7179,0.40,5.59,7.26,4.12亿,-9.66,1.01亿,3597万,1.05亿,9892万,44.81,3.98亿,1.59,23.93,16.1亿,7.93亿,2.15亿,5882万,1.94亿,1.59亿,3517万,12.08,13.9亿,86.80,6.58亿,2.64,0,0,2011/11/11
2132,002593,日上集团,2015/09/30,2.33亿,1.31亿,6424,0.14,7.49,2.11,9.52亿,-1.92,3291万,0,3550万,3035万,-4.50,3.13亿,1.34,17.03,30.1亿,20.7亿,6.37亿,1.25亿,12.7亿,11.6亿,1.03亿,42.06,17.5亿,57.94,12.0亿,5.13,0,0,2011/06/28
2133,002594,比亚迪,2015/09/30,24.8亿,7.54亿,1.40万,0.79,11.70,7.22,485亿,20.01,22.7亿,12.6亿,27.5亿,19.6亿,404.32,126亿,5.08,17.74,1067亿,477亿,298亿,90.1亿,740亿,598亿,142亿,69.42,290亿,27.17,103亿,4.16,0,9.15亿,2011/06/30
2134,002595,豪迈科技,2015/09/30,8.00亿,4.14亿,1.08万,0.64,3.58,18.95,17.0亿,29.09,5.92亿,510万,5.95亿,5.08亿,33.13,14.1亿,1.76,43.49,33.1亿,17.7亿,10.4亿,2.07亿,4.41亿,4.26亿,1512万,13.31,28.7亿,86.66,5.06亿,0.63,0,0,2011/06/28
2135,002596,海南瑞泽,2015/09/30,2.68亿,1.58亿,1.67万,0.03,5.15,0.60,8.38亿,1.60,1555万,-4.36万,1810万,766万,-52.93,2.73亿,1.02,14.31,21.2亿,11.6亿,4.45亿,2.20亿,7.15亿,3.93亿,3.22亿,33.76,13.8亿,65.15,8.15亿,3.04,0,0,2011/07/07
2136,002597,金禾实业,2015/09/30,5.68亿,5.55亿,1.23万,0.29,3.54,7.00,23.7亿,-1.42,1.71亿,1256万,1.81亿,1.64亿,24.22,7.79亿,1.37,16.21,35.6亿,19.6亿,12.2亿,1.16亿,13.5亿,9.04亿,4.48亿,37.95,20.1亿,56.52,5.09亿,0.90,0,0,2011/07/07
