Date,Open,High,Low,Close,Volume,Adj Close,KDJ,MACD
2014/12/18,12.11,12.11,11,11.24,55039400,11.24,"K=67.18
D=62.24
J=77.06","DIF=0.61
DEA=0.58
MACD=0.06"
2014/12/17,11.2,12.16,10.86,12.16,55039400,12.16,K=?,"DIF=0.622 
DEA=0.574 
MACD=0.096"
2014/6/25,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/24,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/23,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/20,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/19,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/18,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/17,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/16,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/13,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/12,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/11,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/10,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/9,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/6,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/5,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/4,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/3,4.35,4.35,4.35,4.35,0,4.34,,
2014/6/2,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/30,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/29,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/28,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/27,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/26,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/23,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/22,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/21,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/20,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/19,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/16,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/15,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/14,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/13,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/12,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/9,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/8,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/7,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/6,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/5,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/2,4.35,4.35,4.35,4.35,0,4.34,,
2014/5/1,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/30,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/29,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/28,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/25,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/24,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/23,4.35,4.35,4.35,4.35,0,4.34,,
2014/4/22,4.11,4.38,4.05,4.35,12740300,4.34,,
2014/4/21,4.17,4.21,4.08,4.11,6234200,4.1,,
2014/4/18,4.21,4.31,4.18,4.21,7751000,4.2,,
2014/4/17,4.22,4.25,4.16,4.23,6533200,4.22,,
2014/4/16,4.05,4.21,4.03,4.21,10077300,4.2,,
2014/4/15,4,4.11,4,4.06,8326600,4.05,,
2014/4/14,3.97,4.04,3.92,4.02,6540200,4.01,,
2014/4/11,3.98,4.01,3.97,3.99,2379400,3.98,,
2014/4/10,3.99,4.01,3.97,3.99,2590000,3.98,,
2014/4/9,4,4.01,3.97,4,2160000,3.99,,
2014/4/8,3.98,4.02,3.96,3.99,2477600,3.98,,
2014/4/7,3.98,3.98,3.98,3.98,0,3.97,,
2014/4/4,3.91,3.99,3.89,3.98,3009600,3.97,,
2014/4/3,3.92,3.94,3.87,3.92,2004100,3.92,,
2014/4/2,3.92,3.94,3.89,3.89,2922000,3.89,,
2014/4/1,3.9,3.93,3.88,3.92,2691400,3.92,,
2014/3/31,3.88,3.92,3.87,3.89,1525100,3.89,,
2014/3/28,3.95,3.96,3.87,3.9,3640600,3.9,,
2014/3/27,3.99,4.01,3.93,3.94,3978000,3.94,,
2014/3/26,4.03,4.05,3.98,4,2789800,3.99,,
2014/3/25,3.99,4.11,3.98,4.04,5152200,4.03,,
2014/3/24,3.97,4.05,3.97,3.99,4928400,3.98,,
2014/3/21,3.86,3.99,3.84,3.99,5276400,3.98,,
2014/3/20,3.93,3.97,3.85,3.86,3394300,3.86,,
2014/3/19,3.88,3.98,3.86,3.92,6646700,3.92,,
2014/3/18,3.87,3.89,3.83,3.88,2606700,3.88,,
2014/3/17,3.82,3.86,3.79,3.86,2403800,3.86,,
2014/3/14,3.8,3.83,3.75,3.81,2488500,3.81,,
2014/3/13,3.75,3.83,3.75,3.8,2505000,3.8,,
2014/3/12,3.75,3.78,3.7,3.76,2028800,3.76,,
2014/3/11,3.73,3.76,3.7,3.75,2228000,3.75,,
2014/3/10,3.85,3.85,3.71,3.75,2670700,3.75,,
2014/3/7,3.86,3.88,3.83,3.87,2126100,3.87,,
2014/3/6,3.86,3.87,3.82,3.86,2055300,3.86,,
2014/3/5,3.86,3.88,3.83,3.85,2603400,3.85,,
2014/3/4,3.83,3.85,3.79,3.85,2428300,3.85,,
2014/3/3,3.75,3.85,3.75,3.83,2505100,3.83,,
2014/2/28,3.72,3.79,3.7,3.76,1645000,3.76,,
2014/2/27,3.78,3.83,3.72,3.74,1563200,3.74,,
2014/2/26,3.72,3.77,3.69,3.76,1965700,3.76,,
2014/2/25,3.84,3.87,3.72,3.73,3431100,3.73,,
2014/2/24,3.83,3.85,3.8,3.84,2150200,3.84,,
2014/2/21,3.94,3.94,3.82,3.84,2537700,3.84,,
2014/2/20,3.9,3.93,3.84,3.9,3996200,3.9,,
2014/2/19,3.89,3.92,3.87,3.91,2612700,3.91,,
2014/2/18,3.9,3.9,3.85,3.88,2490900,3.88,,
2014/2/17,3.87,3.93,3.87,3.89,2867800,3.89,,
2014/2/14,3.82,3.87,3.8,3.87,2239100,3.87,,
2014/2/13,3.84,3.89,3.81,3.81,2345600,3.81,,
2014/2/12,3.83,3.86,3.81,3.85,2074100,3.85,,
2014/2/11,3.82,3.85,3.79,3.83,2617200,3.83,,
2014/2/10,3.76,3.84,3.75,3.82,2887600,3.82,,
2014/2/7,3.7,3.76,3.68,3.75,2102400,3.75,,
2014/2/6,3.71,3.71,3.71,3.71,0,3.71,,
2014/2/5,3.71,3.71,3.71,3.71,0,3.71,,
2014/2/3,3.71,3.71,3.71,3.71,0,3.71,,
2014/1/31,3.71,3.71,3.71,3.71,0,3.71,,
2014/1/30,3.69,3.73,3.68,3.71,1101600,3.71,,
2014/1/29,3.72,3.72,3.67,3.7,1360600,3.7,,
2014/1/28,3.71,3.74,3.69,3.71,1421600,3.71,,
2014/1/27,3.72,3.73,3.69,3.71,988800,3.71,,
2014/1/24,3.68,3.76,3.67,3.72,2244600,3.72,,
2014/1/23,3.71,3.74,3.58,3.71,2607600,3.71,,
2014/1/22,3.63,3.75,3.6,3.7,2196100,3.7,,
2014/1/21,3.56,3.65,3.56,3.63,976500,3.63,,
2014/1/20,3.59,3.62,3.53,3.57,710900,3.57,,
